,main_style,beer_style,main_style_full_count,sub_style_full_count
2612,Porters,American Porter,448,305
2613,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
2614,India Pale Ales,American Double / Imperial IPA,914,297
2615,Stouts,Oatmeal Stout,786,98
2616,Porters,Baltic Porter,448,70
2617,Pale Ales,American Amber / Red Ale,2120,395
2618,India Pale Ales,American Double / Imperial IPA,914,297
2619,Stouts,American Double / Imperial Stout,786,207
2620,India Pale Ales,American Double / Imperial IPA,914,297
2621,India Pale Ales,American Double / Imperial IPA,914,297
2622,Bocks,Doppelbock,339,126
2623,Wheat Beers,Witbier,685,207
2624,India Pale Ales,American Double / Imperial IPA,914,297
2625,Wheat Beers,Witbier,685,207
2626,Stouts,American Double / Imperial Stout,786,207
2627,Pale Ales,American Pale Ale (APA),2120,543
2628,Stouts,Oatmeal Stout,786,98
2629,Brown Ales,English Brown Ale,416,146
2630,Brown Ales,English Brown Ale,416,146
2631,Pilseners and Pale Lagers,American Double / Imperial Pilsner,1228,41
2632,Pilseners and Pale Lagers,Light Lager,1228,108
2633,Stouts,Foreign / Export Stout,786,41
2634,Specialty Beers,Fruit / Vegetable Beer,684,242
2635,Brown Ales,English Brown Ale,416,146
2636,Stouts,Oatmeal Stout,786,98
2637,India Pale Ales,American IPA,914,475
2638,Stouts,English Stout,786,29
2639,India Pale Ales,English India Pale Ale (IPA),914,81
2640,Pale Ales,Irish Red Ale,2120,62
2641,Strong Ales,Tripel,947,123
2642,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
2643,Strong Ales,Scotch Ale / Wee Heavy,947,74
2644,Stouts,Russian Imperial Stout,786,192
2645,India Pale Ales,American IPA,914,475
2646,Pale Ales,American Pale Ale (APA),2120,543
2647,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
2648,Pale Ales,Kölsch,2120,89
2649,Stouts,Oatmeal Stout,786,98
2650,India Pale Ales,American Double / Imperial IPA,914,297
2651,Stouts,Russian Imperial Stout,786,192
2652,Wheat Beers,Hefeweizen,685,206
2653,India Pale Ales,American Double / Imperial IPA,914,297
2654,India Pale Ales,American IPA,914,475
2655,Pale Ales,American Amber / Red Ale,2120,395
2656,Pilseners and Pale Lagers,American Pale Lager,1228,108
2657,Pale Ales,American Pale Ale (APA),2120,543
2658,Porters,American Porter,448,305
2659,India Pale Ales,American Double / Imperial IPA,914,297
2660,Wheat Beers,Hefeweizen,685,206
2661,India Pale Ales,American Double / Imperial IPA,914,297
2662,Bocks,Bock,339,84
2663,Pilseners and Pale Lagers,Euro Pale Lager,1228,163
2664,Wild/Sour Beers,Gueuze,202,33
2665,Specialty Beers,Lambic - Fruit,684,95
2666,Specialty Beers,Lambic - Fruit,684,95
2667,Wild/Sour Beers,Gueuze,202,33
2668,Wild/Sour Beers,Gueuze,202,33
2669,Wild/Sour Beers,Gueuze,202,33
2670,Specialty Beers,Lambic - Fruit,684,95
2671,Specialty Beers,Lambic - Fruit,684,95
2672,Wild/Sour Beers,Faro,202,3
2673,Pale Ales,American Pale Ale (APA),2120,543
2674,Pale Ales,American Pale Ale (APA),2120,543
2675,India Pale Ales,American IPA,914,475
2676,Wheat Beers,American Pale Wheat Ale,685,162
2677,Wheat Beers,American Pale Wheat Ale,685,162
2678,Pale Ales,American Amber / Red Ale,2120,395
2679,Pale Ales,American Amber / Red Ale,2120,395
2680,Strong Ales,American Barleywine,947,122
2681,Wheat Beers,Hefeweizen,685,206
2682,India Pale Ales,American Double / Imperial IPA,914,297
2683,Wheat Beers,Hefeweizen,685,206
2684,Pale Ales,American Pale Ale (APA),2120,543
2685,Stouts,Irish Dry Stout,786,47
2686,Dark Ales,Dubbel,390,88
2687,India Pale Ales,Belgian IPA,914,61
2688,Dark Ales,Dubbel,390,88
2689,Dark Ales,American Black Ale,390,70
2690,Dark Lagers,Euro Dark Lager,476,50
2691,Specialty Beers,Fruit / Vegetable Beer,684,242
2692,Wild/Sour Beers,Flanders Red Ale,202,29
2693,Pale Ales,Saison / Farmhouse Ale,2120,249
2694,Pale Ales,Extra Special / Strong Bitter (ESB),2120,144
2695,Pale Ales,English Pale Ale,2120,185
2696,Wild/Sour Beers,American Wild Ale,202,104
2697,Pale Ales,American Amber / Red Ale,2120,395
2698,Porters,Baltic Porter,448,70
2699,Strong Ales,English Barleywine,947,62
2700,Brown Ales,American Brown Ale,416,158
2701,Bocks,Doppelbock,339,126
2702,Stouts,Milk / Sweet Stout,786,52
2703,Dark Lagers,Märzen / Oktoberfest,476,149
2704,Porters,American Porter,448,305
2705,Stouts,Russian Imperial Stout,786,192
2706,Dark Lagers,Schwarzbier,476,60
2707,Strong Ales,Scotch Ale / Wee Heavy,947,74
2708,Pale Ales,English Pale Ale,2120,185
2709,Brown Ales,Altbier,416,79
2710,Brown Ales,Altbier,416,79
2711,India Pale Ales,American IPA,914,475
